	000001.sz	000002.sz	000009.sz	000024.sz	000039.sz	000069.sz	000400.sz	000401.sz	000402.sz	000425.sz	000536.sz	000562.sz	000581.sz	000598.sz	000623.sz	000629.sz	000630.sz	000656.sz	000686.sz	000728.sz
38	9.47	7.57	7.12	17.5	7.73	4.89	11.32	14.27	8.58	12.16	3.22	7.68	5.31	1.64	18.58	6.32	10.99	4.77	18.18	14.79
39	8.62	7.19	6.41	16.95	7.77	4.76	10.92	13.58	8.25	12.16	3.22	7.11	4.79	1.54	16.89	6.31	10.13	4.53	17.33	13.89
40	8.62	7.15	6.56	17.17	7.28	4.91	10.41	13.58	8.48	12.16	3.22	6.97	4.46	1.43	15.66	6.33	9.14	4.4	16.48	13.52
41	8.75	7.41	6.95	18	7.3	5.26	11.12	14.94	8.69	11.75	3.22	7.02	4.54	1.43	16.05	6.33	9.03	4.62	17	13.65
42	8.44	7.42	6.95	17.59	7.15	5.23	11.55	15.01	8.45	12.38	3.22	6.89	4.55	1.45	16.03	6.33	8.86	4.85	17.3	13.4
43	9.27	7.9	7.35	19.35	7.53	5.39	12.19	15.01	8.9	13.5	3.22	7.45	4.97	1.59	17.58	6.33	9.75	5.09	19.03	14.63
44	9.47	7.93	7.3	19.5	7.6	5.51	12.08	15.5	8.72	12.8	3.22	7.53	4.93	1.59	17.66	6.33	9.93	5.16	20.45	15.14
45	9.37	8.08	7.04	20.1	7.84	5.53	11.45	15.01	8.85	12.5	3.22	7.55	4.83	1.59	17.31	6.33	10.32	5.19	19.95	15.4
46	9.18	7.89	6.57	20.4	7.38	5.15	11.08	14.3	8.54	11.99	3.22	6.99	4.7	1.59	16.22	6.33	9.55	5	17.97	14.01
47	9.28	7.81	6.82	19.85	7.7	5.26	11.21	14.66	8.39	12.05	3.22	7.18	4.81	1.59	16.73	6.33	9.81	5.25	18.65	14.46
48	9.16	7.7	6.56	19.2	7.54	5.02	11.27	14.38	8.39	12.04	3.22	7.05	4.87	1.59	16.8	6.34	9.72	5.34	18.29	14.38
49	9.45	7.83	6.67	19.45	7.49	5.08	11.06	14.5	8.43	11.99	3.22	7.14	4.86	1.59	16.35	6.35	9.79	5.38	18.33	14.41
50	9.26	7.71	6.87	18.8	7.38	4.9	10.91	14.15	8.43	12.05	3.22	7.02	4.97	1.59	16.27	6.36	9.61	5.37	17.8	14
51	9.53	7.89	6.82	19.7	7.44	5.26	10.77	14.19	8.43	12.04	3.22	7.16	5.13	1.59	16.79	6.36	10.02	5.33	18.19	14.39
52	9.93	8.36	7.12	20.75	7.69	5.49	11.11	14.95	8.9	12.5	3.22	7.5	5.38	1.59	17.37	6.36	10.9	5.36	19.65	15
53	9.82	8.27	7.3	20.5	7.77	5.47	12.12	15.08	8.9	12.44	3.22	7.45	5.45	1.59	17.52	6.35	11.4	5.63	19.57	14.95
54	9.87	8.31	7.43	20.8	8.14	5.52	11.98	15.1	9.06	12.8	3.22	7.72	5.52	1.59	18.04	6.35	11.62	5.41	20.52	15.78
55	9.58	8.13	7.44	20.1	8.03	5.41	11.93	14.35	8.82	12.32	3.22	7.69	5.38	1.59	18.11	6.36	12.78	5.34	20.84	15.71
56	9.75	8.4	7.54	21.1	8.17	5.56	12.13	14.48	9.1	12.48	3.22	8.02	5.71	1.59	19.37	6.37	13.22	5.34	22.91	16.33
57	9.79	8.39	7.78	21.97	8.16	5.85	11.82	14.92	9.13	12.6	3.22	7.95	5.87	1.59	19.52	6.35	12.98	5.34	22.73	15.88
