date	深证	上证
2013-04-09	0.004387	0.006413
2013-04-08	-0.001186	-0.006158
2013-04-03	0.000448	-0.001098
2013-04-02	0.00254	-0.002978
2013-04-01	0.005398	-0.000995
2013-03-29	-0.007757	0.000143
2013-03-28	-0.02882	-0.028227
2013-03-27	-0.000164	0.001562
2013-03-26	-0.009287	-0.012484
2013-03-25	-0.003241	-0.000671
2013-03-22	0.001835	0.001736
2013-03-21	0.000893	0.002964
2013-03-20	0.031429	0.026552
2013-03-19	0.003892	0.007776
2013-03-18	-0.011019	-0.016847
2013-03-15	0.001324	0.003578
2013-03-14	0.001547	0.002787
2013-03-13	-0.009867	-0.0099
2013-03-12	-0.012236	-0.010382
2013-03-11	-0.000934	-0.003458
2013-03-08	-0.011482	-0.002445
2013-03-07	-0.003973	-0.00975
2013-03-06	0.009614	0.008973
2013-03-05	0.022058	0.02327
2013-03-04	-0.05289	-0.036492
2013-03-01	0.000903	-0.002573
2013-02-28	0.033022	0.022641
2013-02-27	0.013597	0.008668
2013-02-26	-0.014379	-0.013964
2013-02-25	-0.002367	0.005036
2013-02-22	-0.00336	-0.005068
2013-02-21	-0.025893	-0.029713
2013-02-20	0.00994	0.005986
2013-02-19	-0.025008	-0.015958
2013-02-18	-0.01934	-0.004458
2013-02-08	0.008513	0.005736
2013-02-07	-0.001808	-0.00655
2013-02-06	-0.002338	0.000554
2013-02-05	0.018968	0.002049
2013-02-04	-0.006055	0.003776
2013-02-01	0.015787	0.014085
2013-01-31	-0.011874	0.001237
2013-01-30	0.008159	0.009961
2013-01-29	0.008913	0.005315
2013-01-28	0.027977	0.024092
2013-01-25	-0.009207	-0.004905
2013-01-24	-0.010916	-0.00789
2013-01-23	0.001254	0.002493
2013-01-22	-0.00277	-0.005619
2013-01-21	0.013841	0.004813
2013-01-18	0.01322	0.014075
2013-01-17	-0.004943	-0.010647
2013-01-16	-0.002794	-0.006958
2013-01-15	0.007022	0.006031
2013-01-14	0.033106	0.030648
2013-01-11	-0.016611	-0.017805
2013-01-10	0.001658	0.003656
2013-01-09	0.004876	-0.000321
2013-01-08	0.000218	-0.004067
2013-01-07	0.001363	0.003677
2013-01-04	-0.00224	0.003466
2012-12-31	0.009914	0.016064
2012-12-28	0.009747	0.012401
2012-12-27	-0.000093	-0.005964
2012-12-26	0.005523	0.002494
2012-12-25	0.030146	0.025269
2012-12-24	-0.003116	0.002667
2012-12-21	-0.004012	-0.006938
2012-12-20	0.006211	0.002828
2012-12-19	0.005462	-0.000104
2012-12-18	-0.000895	0.000982
2012-12-17	0.008139	0.004518
2012-12-14	0.044001	0.043245
2012-12-13	-0.009061	-0.010203
2012-12-12	0.003105	0.003867
2012-12-11	-0.005474	-0.004351
2012-12-10	0.009294	0.010663
2012-12-07	0.014643	0.01604
2012-12-06	-0.002495	-0.001314
2012-12-05	0.037162	0.028739
2012-12-04	0.011785	0.007846
2012-12-03	-0.024341	-0.010277
2012-11-30	0.012075	0.008469
2012-11-29	-0.005743	-0.005085
2012-11-28	-0.010417	-0.00886
2012-11-27	-0.009896	-0.013036
2012-11-26	-0.012159	-0.004893
2012-11-23	0.008353	0.005841
2012-11-22	-0.012676	-0.007244
2012-11-21	0.012176	0.01065
2012-11-20	-0.000962	-0.003996
2012-11-19	-0.007096	0.00112
2012-11-16	-0.008297	-0.007666
2012-11-15	-0.01177	-0.012226
2012-11-14	0.005946	0.003677
2012-11-13	-0.018745	-0.015094
2012-11-12	0.004216	0.004933
2012-11-09	-0.005085	-0.001179
2012-11-08	-0.018901	-0.016251
2012-11-07	-0.003337	-0.000128
2012-11-06	-0.007496	-0.003797
2012-11-05	-0.002874	-0.001426
2012-11-02	0.001909	0.005996
2012-11-01	0.022828	0.017182
2012-10-31	0.009001	0.003168
2012-10-30	0.002111	0.001653
2012-10-29	-0.004551	-0.003517
2012-10-26	-0.021848	-0.016831
2012-10-25	-0.005905	-0.00681
2012-10-24	-0.003749	0.00073
2012-10-23	-0.016192	-0.008586
2012-10-22	0.003754	0.002094
2012-10-19	-0.000202	-0.001588
2012-10-18	0.018171	0.012381
2012-10-17	-0.000504	0.003245
2012-10-16	0.002734	0.00005
2012-10-15	-0.003263	-0.002959
2012-10-12	-0.001719	0.000982
2012-10-11	-0.012377	-0.008054
2012-10-10	0.00341	0.002228
2012-10-09	0.023863	0.019673
2012-10-08	-0.016032	-0.005632
2012-09-28	0.022736	0.014514
2012-09-27	0.035749	0.026021
2012-09-26	-0.010969	-0.012379
2012-09-25	-0.003211	-0.001918
2012-09-24	0.01334	0.003208
2012-09-21	-0.000082	0.000915
2012-09-20	-0.027223	-0.020792
2012-09-19	0.004957	0.004024
2012-09-18	-0.011026	-0.009121
2012-09-17	-0.029332	-0.021351
2012-09-14	0.005644	0.006382
2012-09-13	-0.010894	-0.007606
2012-09-12	0.005407	0.002829
2012-09-11	-0.003429	-0.006716
2012-09-10	0.006943	0.003351
2012-09-07	0.050771	0.036962
2012-09-06	0.005542	0.006987
2012-09-05	-0.000151	-0.00292
2012-09-04	-0.014093	-0.007526
2012-09-03	0.018351	0.005678
2012-08-31	-0.001105	-0.002467
2012-08-30	-0.006146	-0.000317
2012-08-29	-0.01541	-0.009608
2012-08-28	-0.000213	0.008487
2012-08-27	-0.020647	-0.017397
2012-08-24	-0.017327	-0.009923
2012-08-23	0.000519	0.002544
2012-08-22	-0.013952	-0.004984
2012-08-21	0.001229	0.005368
2012-08-20	-0.005063	-0.003751
2012-08-17	-0.010005	0.001275
2012-08-16	-0.008313	-0.003185
2012-08-15	-0.004512	-0.011006
2012-08-14	0.005575	0.003018
2012-08-13	-0.021539	-0.015094
2012-08-10	-0.010639	-0.002432
2012-08-09	0.013775	0.006068
2012-08-08	-0.002015	0.001562
2012-08-07	0.001852	0.001255
2012-08-06	0.014938	0.010371
2012-08-03	0.009004	0.010238
2012-08-02	-0.018585	-0.005735
2012-08-01	0.011784	0.009377
2012-07-31	-0.001305	-0.002976
2012-07-30	-0.001768	-0.008855
2012-07-27	0.000576	0.001299
2012-07-26	-0.008022	-0.00475
2012-07-25	-0.011598	-0.004863
2012-07-24	0.008355	0.002422
2012-07-23	-0.01577	-0.012559
2012-07-20	-0.018537	-0.007416
2012-07-19	-0.000492	0.007257
2012-07-18	-0.004797	0.003661
2012-07-17	0.002006	0.00616
2012-07-16	-0.025693	-0.017357
2012-07-13	0.003999	0.000185
2012-07-12	0.017229	0.004647
2012-07-11	0.011773	0.005057
2012-07-10	-0.002101	-0.002938
2012-07-09	-0.019967	-0.02373
2012-07-06	0.029483	0.010097
2012-07-05	-0.016356	-0.011656
2012-07-04	-0.003973	-0.000842
2012-07-03	0.004273	0.001385
2012-07-02	0.006961	0.000305
2012-06-29	0.012474	0.013475
2012-06-28	-0.003529	-0.009514
2012-06-27	-0.003185	-0.00231
2012-06-26	0.003439	-0.00092
2012-06-25	-0.027727	-0.016261
2012-06-21	-0.014163	-0.013956
2012-06-20	-0.002678	-0.003441
2012-06-19	-0.013117	-0.006588
2012-06-18	0.009449	0.003989
2012-06-15	0.000036	0.004749
2012-06-14	-0.006508	-0.009909
2012-06-13	0.016327	0.012723
2012-06-12	-0.006048	-0.006967
2012-06-11	0.014689	0.010699
2012-06-08	-0.004967	-0.005095
2012-06-07	-0.005843	-0.007112
2012-06-06	-0.003467	-0.001021
2012-06-05	-0.002775	0.001458
2012-06-04	-0.026739	-0.027338
2012-06-01	0.000433	0.000507
2012-05-31	-0.00206	-0.005214
2012-05-30	-0.005129	-0.002079
2012-05-29	0.01095	0.011971
2012-05-28	0.022169	0.011919
2012-05-25	-0.009977	-0.00741
2012-05-24	-0.015638	-0.005274
2012-05-23	-0.003641	-0.004159
2012-05-22	0.020316	0.010649
2012-05-21	0.00752	0.001612
2012-05-18	-0.017499	-0.014446
2012-05-17	0.016439	0.013935
2012-05-16	-0.021254	-0.012064
2012-05-15	0.003808	-0.002471
2012-05-14	-0.011559	-0.005953
2012-05-11	-0.006442	-0.006326
2012-05-10	-0.001647	0.000682
2012-05-09	-0.021863	-0.016455
2012-05-08	-0.008312	-0.001249
2012-05-07	0.003716	-0.000027
2012-05-04	0.010051	0.004891
2012-05-03	0.004166	0.000674
2012-05-02	0.024022	0.017577
2012-04-27	-0.002084	-0.003485
2012-04-26	0.003902	-0.000879
2012-04-25	0.011962	0.007526
2012-04-24	-0.003391	0.000103
2012-04-23	-0.005427	-0.007593
2012-04-20	0.011545	0.011868
2012-04-19	-0.005375	-0.00093
2012-04-18	0.023335	0.019642
2012-04-17	-0.016039	-0.009351
2012-04-16	-0.004322	-0.000905
2012-04-13	0.003604	0.003529
2012-04-12	0.020947	0.018164
2012-04-11	0.000649	0.001328
2012-04-10	0.008759	0.008787
2012-04-09	-0.007692	-0.009007
2012-04-06	0.007947	0.001873
2012-04-05	0.031749	0.017436
2012-03-30	-0.000845	0.004719
2012-03-29	-0.011848	-0.014321
2012-03-28	-0.031523	-0.026542
2012-03-27	-0.010532	-0.001455
2012-03-26	0.006159	0.000451
2012-03-23	-0.015311	-0.011042
2012-03-22	-0.005102	-0.001019
2012-03-21	-0.002566	0.000571
2012-03-20	-0.01746	-0.013835
2012-03-19	0.00164	0.002266
2012-03-16	0.019109	0.013043
2012-03-15	-0.000826	-0.0073
2012-03-14	-0.031873	-0.026291
2012-03-13	0.012304	0.008598
2012-03-12	-0.003278	-0.001887
2012-03-09	0.016051	0.007927
2012-03-08	0.011563	0.010641
2012-03-07	-0.003859	-0.006493
2012-03-06	-0.012969	-0.014134
2012-03-05	-0.007136	-0.006377
2012-03-02	0.023753	0.014252
2012-03-01	0.000608	-0.000977
2012-02-29	-0.010531	-0.009532
2012-02-28	-0.00152	0.001962
2012-02-27	0.005253	0.003045
2012-02-24	0.020689	0.012481
2012-02-23	0.005719	0.002483
2012-02-22	0.017189	0.009304
2012-02-21	0.008238	0.007545
2012-02-20	0.000136	0.002722
2012-02-17	-0.000778	0.000136
2012-02-16	-0.005232	-0.004159
2012-02-15	0.013586	0.009353
2012-02-14	-0.004309	-0.003012
2012-02-13	-0.000613	-0.000054
2012-02-10	0.003162	0.001018
2012-02-09	0.00033	0.000877
2012-02-08	0.031388	0.024272
2012-02-07	-0.019254	-0.01683
2012-02-06	0.001235	0.000314
2012-02-03	0.005848	0.007718
2012-02-02	0.02053	0.01961
2012-02-01	-0.011851	-0.0107
2012-01-31	0.003105	0.003314
2012-01-30	-0.020208	-0.014695
2012-01-20	0.017841	0.010036
2012-01-19	0.02029	0.013101
2012-01-18	-0.016064	-0.013919
2012-01-17	0.049461	0.041784
2012-01-16	-0.022492	-0.017102
2012-01-13	-0.018513	-0.013376
2012-01-12	-0.004144	-0.000455
2012-01-11	-0.004529	-0.004243
2012-01-10	0.037464	0.02689
2012-01-09	0.036096	0.028887
2012-01-06	0.003972	0.006955
2012-01-05	-0.011008	-0.009652
2012-01-04	-0.024984	-0.013652
2011-12-30	0.015658	0.011896
2011-12-29	0.004759	0.001635
2011-12-28	0.003234	0.001758
2011-12-27	-0.018549	-0.010915
2011-12-26	-0.011177	-0.006656
2011-12-23	0.00754	0.008456
2011-12-22	0.002825	-0.002214
2011-12-21	-0.016322	-0.011184
2011-12-20	-0.002475	-0.001039
2011-12-19	-0.003068	-0.002969
2011-12-16	0.023768	0.02015
2011-12-15	-0.024407	-0.021373
2011-12-14	-0.010646	-0.008923
2011-12-13	-0.019774	-0.018745
2011-12-12	-0.010969	-0.010247
2011-12-09	-0.010464	-0.006245
2011-12-08	-0.002678	-0.001247
2011-12-07	0.002013	0.002934
2011-12-06	0.00009	-0.003139
2011-12-05	-0.022649	-0.011622
2011-12-02	-0.011054	-0.010975
2011-12-01	0.023158	0.022905
2011-11-30	-0.031914	-0.032739
2011-11-29	0.012974	0.01232
2011-11-28	-0.000157	0.001181
2011-11-25	-0.008077	-0.007228
2011-11-24	0.000947	0.001039
2011-11-23	-0.007069	-0.007278
2011-11-22	-0.000557	-0.001037
2011-11-21	0.00086	-0.000593
2011-11-18	-0.026981	-0.018873
2011-11-17	-0.000986	-0.001586
2011-11-16	-0.025481	-0.024825
2011-11-15	-0.005888	0.000414
2011-11-14	0.021763	0.019197
2011-11-11	-0.005595	0.000624
2011-11-10	-0.013959	-0.017974
2011-11-09	0.008043	0.00842
2011-11-08	-0.004773	-0.002376
2011-11-07	-0.010078	-0.007315
2011-11-04	0.007094	0.008056
2011-11-03	0.004004	0.00159
2011-11-02	0.013412	0.013801
2011-11-01	-0.003741	0.000717
2011-10-31	-0.007677	-0.002086
2011-10-28	0.023123	0.015518
2011-10-27	0.000731	0.003351
2011-10-26	0.011011	0.00739
2011-10-25	0.024682	0.016596
2011-10-24	0.026854	0.022897
2011-10-21	-0.010108	-0.006044
2011-10-20	-0.030627	-0.019409
2011-10-19	-0.01185	-0.002506
2011-10-18	-0.027257	-0.023323
2011-10-17	0.007207	0.003713
2011-10-14	-0.004158	-0.00304
2011-10-13	0.005362	0.007764
2011-10-12	0.035811	0.030438
2011-10-11	-0.010351	0.00159
2011-10-10	-0.011813	-0.006118
2011-09-30	0.000431	-0.002589
2011-09-29	-0.00791	-0.01117
2011-09-28	-0.007535	-0.00952
2011-09-27	0.011637	0.009139
2011-09-26	-0.01992	-0.01643
2011-09-23	-0.011451	-0.004051
2011-09-22	-0.030148	-0.027818
2011-09-21	0.029267	0.02664
2011-09-20	0.002034	0.004086
2011-09-19	-0.020279	-0.017946
2011-09-16	0.002785	0.001326
2011-09-15	0.002367	-0.002323
2011-09-14	0.004371	0.005472
2011-09-13	-0.01075	-0.010589
2011-09-09	-0.003743	-0.000476
2011-09-08	-0.007072	-0.006815
2011-09-07	0.021594	0.018444
2011-09-06	-0.016108	-0.003314
2011-09-05	-0.024349	-0.019595
2011-09-02	-0.010972	-0.010861
2011-09-01	-0.003915	-0.004401
2011-08-31	0.004674	0.00029
2011-08-30	-0.002456	-0.003811
2011-08-29	-0.016925	-0.013695
2011-08-26	-0.002652	-0.001175
2011-08-25	0.032029	0.029188
2011-08-24	-0.000397	-0.005062
2011-08-23	0.011769	0.015166
2011-08-22	-0.016714	-0.007298
2011-08-19	-0.009867	-0.009812
2011-08-18	-0.015875	-0.016065
2011-08-17	-0.005755	-0.002647
2011-08-16	-0.008696	-0.007082
2011-08-15	0.009995	0.012956
2011-08-12	0.002047	0.004519
2011-08-11	0.015539	0.012683
2011-08-10	0.011887	0.009147
2011-08-09	0.000217	-0.000295
2011-08-08	-0.033255	-0.037925
