Stkcd	Trddt	Clsprc		
000001	2013-10-22	12.05	
000001	2013-10-23	12.58	
000001	2013-10-24	13	
000001	2013-10-25	13.43	
000001	2013-10-28	13.13	
000001	2013-10-29	14.12	
000001	2013-10-30	14.4	
000001	2013-10-31	13.9	
000001	2013-11-01	13.87	
000001	2013-11-04	13.56	
000001	2013-11-05	13.66	
000001	2013-11-06	13.15	
000001	2013-11-07	13.27	
000001	2013-11-08	13.33	
000001	2013-11-11	13.4	
000001	2013-11-12	14.05	
000001	2013-11-13	13.33	
000001	2013-11-14	13.14	
000001	2013-11-15	13.36	
000001	2013-11-18	14.09	
000001	2013-11-19	13.82	
000001	2013-11-20	13.99	
000001	2013-11-21	13.94	
000001	2013-11-22	13.67	
000001	2013-11-25	13.5	
000001	2013-11-26	13.47	
000001	2013-11-27	13.57	
000001	2013-11-28	13.62	
000001	2013-11-29	13.6	
000001	2013-12-02	13.75	
000001	2013-12-03	13.54	
000001	2013-12-04	13.6	
000001	2013-12-05	13.43	
000001	2013-12-06	13.29	
000001	2013-12-09	13.19	
000001	2013-12-10	13.29	
000001	2013-12-11	12.84	
000001	2013-12-12	12.72	
000001	2013-12-13	12.55	
000001	2013-12-16	12.75	
000001	2013-12-17	12.72	
000001	2013-12-18	12.76	
000001	2013-12-19	12.5	
000001	2013-12-20	11.91	
000001	2013-12-23	11.95	
000001	2013-12-24	11.7	
000001	2013-12-25	11.72	
000001	2013-12-26	11.45	
000001	2013-12-27	11.75	
000001	2013-12-30	11.74	
000001	2013-12-31	12.25	
